date,business_type,process,customers_or_cases,waiting_minutes,staff_hours,sales_aed,operating_cost_aed,delayed_cases,customer_complaints,repeat_customers,missed_follow_ups,status
2025-01-01 00:00:00.000000000,Service Business,Order processing,7,24.2,0.91,840.14,114.28,0,0,5,1,Completed
2025-01-01 02:54:46.695565188,Logistics,Complaint handling,5,30.0,2.62,429.75,155.94,0,1,2,2,Completed
2025-01-01 05:49:33.391130376,Clinic,Stock handling,7,23.3,1.41,580.2,63.45,0,1,3,0,Completed
2025-01-01 08:44:20.086695565,Logistics,Delivery,7,32.2,2.5,627.79,133.14,1,0,5,1,Delayed
2025-01-01 11:39:06.782260753,Logistics,Appointment,4,21.7,1.9,201.19,120.8,0,0,3,0,Completed
2025-01-01 14:33:53.477825941,Restaurant,Supplier coordination,8,50.5,2.26,143.06,159.44,0,2,4,3,Completed
2025-01-01 17:28:40.173391130,Clinic,Booking,4,15.9,2.1,311.91,132.81,0,0,1,0,Completed
2025-01-01 20:23:26.868956318,Clinic,Order processing,3,26.0,3.81,288.33,179.03,1,0,3,1,Delayed
2025-01-01 23:18:13.564521507,Clinic,Order processing,9,42.9,0.92,624.06,56.15,0,3,4,3,Completed
2025-01-02 02:13:00.260086695,Logistics,Stock handling,12,22.0,1.24,1407.26,93.27,0,0,7,1,Completed
2025-01-02 05:07:46.955651883,Service Business,Complaint handling,4,43.5,1.9,301.14,143.07,0,2,4,0,Completed
2025-01-02 08:02:33.651217072,Clinic,Follow-up,4,27.7,2.73,247.24,160.51,1,3,2,1,Delayed
2025-01-02 10:57:20.346782260,Logistics,Supplier coordination,10,38.4,2.26,871.62,105.45,0,0,5,7,Completed
2025-01-02 13:52:07.042347449,Restaurant,Stock handling,3,28.6,1.87,325.15,96.78,0,0,2,2,Completed
2025-01-02 16:46:53.737912637,Service Business,Appointment,8,18.9,1.22,616.41,60.0,0,0,7,3,Completed
2025-01-02 19:41:40.433477825,Restaurant,Payment,8,11.2,1.87,756.65,170.88,0,0,8,0,Completed
2025-01-02 22:36:27.129043014,Service Business,Customer enquiry,10,24.5,0.47,687.01,58.86,0,1,8,0,Completed
2025-01-03 01:31:13.824608202,Logistics,Follow-up,9,35.8,0.98,622.78,79.56,1,4,6,1,Delayed
2025-01-03 04:26:00.520173391,Retail,Complaint handling,10,34.8,2.96,1026.09,141.7,0,2,7,4,Completed
2025-01-03 07:20:47.215738579,Service Business,Booking,5,30.9,2.89,195.14,140.02,0,0,3,4,Completed
